ID,exp_name,dataset,input_size,checkpoint_type,best_epoch,use_sp_rgm,use_sp_scan,sp_scan_mode,sp_scan_stage,sp_scan_blocks,enabled_sp_scan_stage_index,enabled_sp_scan_block_indices,stage2_depth,bottleneck_depth,replace_mode,path_types,num_regions,num_iters,tau,xy_weight,feat_weight,normalize_assign,assign_norm,k_spatial,k_feature,graph_order,token_inner_order,detach_order,Dice,IoU,Jaccard,Accuracy,Specificity,Sensitivity,TP,FP,TN,FN,Q_entropy,q_max_mean,q_max_min,empty_region_ratio,region_mass_mean,region_mass_min,region_mass_max,region_mass_std,region_mass_nonzero_ratio,region_mass_cv,dist_margin_mean,logit_margin_mean,feat_xy_dist_ratio,perm_valid,uses_mamba,note
A0,A0_vmunet_baseline,isic2018,256x256,best_dice,,False,False,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8869,0.7967,0.7967,,,,,,,,,,,,,,,,,,,,,,,baseline reference
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_dice,,False,True,replacement,bottleneck_last,last,3,1,2,2,one_path,raster|transpose|reverse_raster|graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8918,0.8048,0.8048,,,,,,,,,,,,,,,,,,,,,,,bottleneck last one-path reference
V2,V2_vssblock_spscan_two_paths,isic2018,256x256,best_dice,,False,True,replacement,bottleneck_last,last,3,1,2,2,two_paths,raster|transpose|graph|reverse_graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8873,0.7974,0.7974,,,,,,,,,,,,,,,,,,,,,,,bottleneck last two-path reference
V4,V4_vssblock_spscan_bottleneck_all_one_path,isic2018,256x256,best_dice,,False,True,replacement,bottleneck,all,3,0|1,2,2,one_path,raster|transpose|reverse_raster|graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8710,0.7715,0.7715,,,,,,,,,,,,,,,,,,,,,,,bottleneck all one-path reference
V5,V5_vssblock_spscan_bottleneck_all_two_paths,isic2018,256x256,best_dice,,False,True,replacement,bottleneck,all,3,0|1,2,2,two_paths,raster|transpose|graph|reverse_graph,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.8873,0.7975,0.7975,,,,,,,,,,,,,,,,,,,,,,,bottleneck all two-path reference
F1,F1_vssblock_spscan_stage2_last_one_path,isic2018,256x256,best_dice,,False,True,replacement,stage2,last,2,1,2,2,one_path,raster|transpose|reverse_raster|graph,4x4,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,,,,,,,,,,,,,,,,,,,,,,,,,,stage2 last one-path replacement
F2,F2_vssblock_spscan_stage2_last_two_paths,isic2018,256x256,best_dice,,False,True,replacement,stage2,last,2,1,2,2,two_paths,raster|transpose|graph|reverse_graph,4x4,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,,,,,,,,,,,,,,,,,,,,,,,,,,stage2 last two-path replacement
