ID,exp_name,dataset,input_size,checkpoint_type,best_epoch,use_sp_rgm,use_sp_scan,use_ssr,ssr_stage,ssr_feature_shape,num_regions,num_iters,tau,xy_weight,feat_weight,normalize_assign,assign_norm,use_pos_embed,use_avg_pool,use_max_pool,use_graph,region_update,gate_type,gate_scale,gate_value,gamma_raw,Dice,IoU,Jaccard,Accuracy,Specificity,Sensitivity,TP,FP,TN,FN,Q_entropy,q_max_mean,q_max_min,empty_region_ratio,region_mass_mean,region_mass_min,region_mass_max,region_mass_std,region_mass_nonzero_ratio,region_mass_cv,dist_margin_mean,logit_margin_mean,feat_xy_dist_ratio,input_norm,recon_norm,fused_norm,recon_input_norm_ratio,output_input_delta_norm,output_input_delta_ratio,note
A0,A0_vmunet_baseline,isic2018,256x256,best_dice,,False,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8869,0.7967,0.7967,,,,,,,,,,,,,,,,,,,,,,,,,,,original VM-UNet baseline
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_dice,,False,True,False,NA,NA,2x2,5,0.2,2.0,0.1,True,layer,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8918,0.8048,0.8048,,,,,,,,,,,,,,,,,,,,,,,,,,,bottleneck last one-path SPScan reference
F1,F1_vssblock_spscan_stage2_last_one_path,isic2018,256x256,best_dice,,False,True,False,NA,NA,4x4,5,0.2,2.0,0.1,True,layer,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2 last one-path SPScan reference
F2,F2_vssblock_spscan_stage2_last_two_paths,isic2018,256x256,best_dice,,False,True,False,NA,NA,4x4,5,0.2,2.0,0.1,True,layer,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2 last two-path SPScan reference
G1,G1_ssr_stage2_skip_avgmax,isic2018,256x256,best_dice,,False,False,True,stage2,16x16x384,4x4,5,0.2,2.0,0.1,True,layer,True,True,True,False,mlp,bounded_tanh,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2 skip SSR avg+max
G2,G2_ssr_stage1_skip_avgmax,isic2018,256x256,best_dice,,False,False,True,stage1,32x32x192,8x8,5,0.2,2.0,0.1,True,layer,True,True,True,False,mlp,bounded_tanh,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage1 skip SSR avg+max
