ID,exp_name,dataset,input_size,checkpoint_type,best_epoch,use_sp_rgm,use_sp_scan,sp_scan_mode,sp_scan_stage,sp_scan_blocks,enabled_sp_scan_block_indices,bottleneck_depth,extra_path_types,num_extra_paths,num_regions,num_iters,tau,xy_weight,feat_weight,normalize_assign,assign_norm,k_spatial,k_feature,graph_order,token_inner_order,detach_order,gamma_sp_init,gamma_graph_block0,gamma_graph_block1,gamma_reverse_graph_block0,gamma_reverse_graph_block1,y_original_norm,y_graph_norm,y_reverse_graph_norm,graph_orig_norm_ratio,reverse_graph_orig_norm_ratio,Dice,IoU,Jaccard,Accuracy,Specificity,Sensitivity,TP,FP,TN,FN,Q_entropy,q_max_mean,q_max_min,empty_region_ratio,region_mass_mean,region_mass_min,region_mass_max,region_mass_std,region_mass_nonzero_ratio,region_mass_cv,dist_margin_mean,logit_margin_mean,feat_xy_dist_ratio,uses_mamba,note
A0,A0_vmunet_baseline,isic2018,256x256,best_dice,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8869,0.7967,0.7967,,,,,,,,,,,,,,,,,,,,,,baseline reference
V1,V1_vssblock_spscan_one_path,isic2018,256x256,best_dice,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8918,0.8048,0.8048,,,,,,,,,,,,,,,,,,,,,,bottleneck last one-path replacement reference
V2,V2_vssblock_spscan_two_paths,isic2018,256x256,best_dice,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8873,0.7974,0.7974,,,,,,,,,,,,,,,,,,,,,,bottleneck last two-path replacement reference
V4,V4_vssblock_spscan_bottleneck_all_one_path,isic2018,256x256,best_dice,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8710,0.7715,0.7715,,,,,,,,,,,,,,,,,,,,,,bottleneck all one-path replacement reference
V5,V5_vssblock_spscan_bottleneck_all_two_paths,isic2018,256x256,best_dice,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8873,0.7975,0.7975,,,,,,,,,,,,,,,,,,,,,,bottleneck all two-path replacement reference
E1,E1_vssblock_extra_graph_bottleneck_last2,isic2018,256x256,best_dice,,False,True,extra_path,bottleneck,last2,0|1,2,graph,1,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original four paths plus gated graph path
E2,E2_vssblock_extra_graph_reverse_bottleneck_last2,isic2018,256x256,best_dice,,False,True,extra_path,bottleneck,last2,0|1,2,graph|reverse_graph,2,2x2,5,0.2,2.0,0.1,True,layer,3,3,greedy,raster,True,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original four paths plus gated graph and reverse graph paths
